feature,statistic,p_value,significant
start_lng,6222.372210112981,0.0,True
end_lng,5332.688316383428,0.0,True
hour,6247.380872656076,0.0,True
speed_kmh,1135.1560324945153,7.551444384575045e-249,True
end_lat,199.42395748793493,2.789575702276914e-45,True
start_lat,160.44778098813777,9.032634006029866e-37,True
distance_km,156.38358339104258,6.979860826620617e-36,True
dow,130.26527346047888,3.585161886971578e-30,True
duration_minutes,109.19725154102946,1.4691371805077171e-25,True
hour_of_week,98.29847304748837,3.598433197804874e-23,True
is_weekend,44.52993597531577,2.5049751914555253e-11,True
month,4.354990201662153,0.03690067151039747,True
day,0.37620855844347,0.5396393691868778,False
year,0.009499569424142918,0.9223565444569494,False
